wave,gender,income_comparison,age,mean_effect,std,sem,hdi_5,hdi_95
Wave-6,Male,£0-£300→£301-£490,54.53968253968254,0.0996866187583,0.025061822743180365,0.0007925244218385908,0.06113348538010902,0.14125667685210722
Wave-6,Male,£0-£300→£301-£490,55.55555555555556,0.09958515396204569,0.02503366237124974,0.0007916339126880083,0.06093656180971277,0.14109539911437255
Wave-6,Male,£0-£300→£301-£490,56.57142857142857,0.09947978503802071,0.025005382273785823,0.0007907396174836331,0.06084239751485802,0.14090114044139082
Wave-6,Male,£0-£300→£301-£490,57.58730158730158,0.09937056065709139,0.02497700649302009,0.0007898422965075799,0.060790222306320266,0.14057475760396013
Wave-6,Male,£0-£300→£301-£490,58.6031746031746,0.09925753069000828,0.02494855898607656,0.0007889427073506298,0.060642314759787604,0.14037736954486324
Wave-6,Male,£0-£300→£301-£490,59.61904761904762,0.09914074614345364,0.02492006357579219,0.0007880416033570339,0.06055103161361318,0.14025146640556135
Wave-6,Male,£0-£300→£301-£490,60.63492063492063,0.09902025909565552,0.024891543900889292,0.0007871397320488269,0.06061989627649759,0.14012208683349434
Wave-6,Male,£0-£300→£301-£490,61.650793650793645,0.0988961226317063,0.02486302336565661,0.0007862378335346033,0.060605658562576596,0.1399513334499332
Wave-6,Male,£0-£300→£301-£490,62.666666666666664,0.09876839077872444,0.02483452508931596,0.0007853366389083499,0.06055610709951413,0.1397561191772032
Wave-6,Male,£0-£300→£301-£490,63.682539682539684,0.09863711844099524,0.024806071855270367,0.0007844368686445307,0.060504920541091495,0.13955771062991268
Wave-6,Male,£0-£300→£301-£490,64.6984126984127,0.09850236133522651,0.024777686060446617,0.000783539230996158,0.06045291944871183,0.1393561495392041
Wave-6,Male,£0-£300→£301-£490,65.71428571428571,0.09836417592605215,0.024749389664960274,0.0007826444204030604,0.060467544596803605,0.13927556052512402
Wave-6,Male,£0-£300→£301-£490,66.73015873015873,0.09822261936191477,0.024721204142343235,0.0007817531159179401,0.06043997264395468,0.13930067471545132
Wave-6,Male,£0-£300→£301-£490,67.74603174603175,0.0980777494114551,0.02469315043058393,0.0007808659796581276,0.060401619361621,0.13915803353796233
Wave-6,Male,£0-£300→£301-£490,68.76190476190476,0.09792962440053389,0.024665248884236622,0.0007799836552911452,0.06028439388048532,0.13899322808417983
Wave-6,Male,£0-£300→£301-£490,69.77777777777777,0.0977783031500068,0.024637519227860068,0.0007791067665623079,0.06016480192642456,0.1389925491161222
Wave-6,Male,£0-£300→£301-£490,70.79365079365078,0.0976238449143699,0.02460998051104602,0.0007782359158726003,0.06011117076312596,0.13868861219494974
Wave-6,Male,£0-£300→£301-£490,71.80952380952381,0.09746630932138874,0.02458265106529535,0.000777371682914979,0.05997936826370655,0.13852323111817516
Wave-6,Male,£0-£300→£301-£490,72.82539682539682,0.09730575631281828,0.024555548462993508,0.0007765146233770636,0.05978142426712379,0.1384051195532979
Wave-6,Male,£0-£300→£301-£490,73.84126984126983,0.09714224608631704,0.02452868947872807,0.0007756652677178895,0.05964414681790765,0.13819400738337317
Wave-6,Male,£0-£300→£301-£490,74.85714285714286,0.09697583903865206,0.024502090053178972,0.0007748241200260172,0.05948359820108479,0.1380153656356841
Wave-6,Male,£0-£300→£301-£490,75.87301587301587,0.09680659571028616,0.024475765259797545,0.0007739916569658308,0.0592354357029328,0.13784533627464587
Wave-6,Male,£0-£300→£301-£490,76.88888888888889,0.09663457673143205,0.02444972927447312,0.0007731683268183119,0.058993821572772956,0.13741147918360372
Wave-6,Male,£0-£300→£301-£490,77.9047619047619,0.09645984276965232,0.024423995348366714,0.0007723545486219648,0.0589877805003948,0.13714334814099455
Wave-6,Male,£0-£300→£301-£490,78.92063492063491,0.09628245447907659,0.02439857578406992,0.000771550711418895,0.05860386017263864,0.13679343921366818
Wave-6,Male,£0-£300→£301-£490,79.93650793650794,0.0961024724513008,0.02437348191522457,0.0007707571736103266,0.058443927364041026,0.13637876432558746
Wave-6,Male,£0-£300→£301-£490,80.95238095238095,0.09591995716802648,0.024348724089714488,0.0007699742624250779,0.0581430874960039,0.13609127081322597
Wave-6,Male,£0-£300→£301-£490,81.96825396825396,0.09573496895549027,0.024324311656516176,0.0007692022735037441,0.058123880870198055,0.13595915348775753
Wave-6,Male,£0-£300→£301-£490,82.98412698412699,0.09554756794072732,0.02430025295626954,0.0007684414706005179,0.05803802522358576,0.13591890013506694
Wave-6,Male,£0-£300→£301-£490,84.0,0.09535781400970411,0.024276555315604954,0.0007676920854037947,0.057776990998207385,0.1359233888912562
Wave-6,Male,£0-£300→£491-£740,20.0,0.11342059072020451,0.02689860543239199,0.00085060859048537,0.07283624451496082,0.1580171024807915
Wave-6,Male,£0-£300→£491-£740,21.015873015873016,0.11346436300021778,0.02688016971404693,0.0008500256018826527,0.07280976973426886,0.15799498940116974
Wave-6,Male,£0-£300→£491-£740,22.03174603174603,0.11350309440698979,0.026860951544187637,0.000849417869990499,0.07278224556331565,0.15788848861667928
Wave-6,Male,£0-£300→£491-£740,23.047619047619047,0.11353676893143294,0.026840959568514157,0.0008487856682099503,0.07276072688645024,0.1578038212252079
Wave-6,Male,£0-£300→£491-£740,24.063492063492063,0.11356537311999508,0.026820203746376316,0.0008481293114833009,0.07273693167498833,0.15772074142349393
Wave-6,Male,£0-£300→£491-£740,25.07936507936508,0.1135888960887081,0.026798695335888547,0.0008474491558233889,0.07283677938999877,0.15800105042864812
